Sentence,Aspect Term,polarity,augmented_sentences
I've waited over one hour for food.,food,neutral,My food has taken over one hour so far.
I've waited over one hour for food.,food,neutral,More than sixty minutes have passed while I wait for food.
It's just O.K. pizza.,pizza,neutral,The pizza is just O.K.
It's just O.K. pizza.,pizza,neutral,It's only O.K. pizza.
It's just O.K. pizza.,pizza,neutral,The pizza is simply O.K.
"A gentleman, maybe the manager, came to our table, and without so much as a smile or greeting asked for our order.",table,neutral,"A man, possibly the manager, approached our table and requested our order without offering a smile or greeting."
"A gentleman, maybe the manager, came to our table, and without so much as a smile or greeting asked for our order.",table,neutral,Someone who might be the manager came to where we were seated and asked for our order without any welcome or smile.
"A gentleman, maybe the manager, came to our table, and without so much as a smile or greeting asked for our order.",table,neutral,"A gentleman—perhaps the manager—walked up to our table and, without greeting or smiling, asked what we wanted to order."
I had very high expectations for this place and made a reservation a couple of months in advance for a special occasion.,reservation,neutral,I anticipated a lot from this place and booked a reservation months ahead for a special event.
I had very high expectations for this place and made a reservation a couple of months in advance for a special occasion.,reservation,neutral,"With great expectations for this place, I arranged a reservation well in advance for a special celebration."
I had very high expectations for this place and made a reservation a couple of months in advance for a special occasion.,reservation,neutral,"Expecting a lot from this venue, I secured a reservation a couple of months early for a special occasion."
Any if you have a reservation you'll wait for max 5 minutes - so have a drink at the bar.,drink,neutral,"Even with a reservation you'll wait about 5 minutes, so grab a drink at the bar."
Any if you have a reservation you'll wait for max 5 minutes - so have a drink at the bar.,drink,neutral,"If you've reserved, expect a 5-minute wait—just enjoy a drink at the bar while you do."
Any if you have a reservation you'll wait for max 5 minutes - so have a drink at the bar.,drink,neutral,"Having a reservation still means up to 5 minutes of waiting, so pass the time with a drink at the bar."
Some servers make you feel like they are doing you a favor to bring you the food.,food,neutral,It feels like some servers are granting you a favor just to deliver the food.
Some servers make you feel like they are doing you a favor to bring you the food.,food,neutral,Certain servers act as though they’re doing you a kindness by bringing the food.
Some servers make you feel like they are doing you a favor to bring you the food.,food,neutral,There are servers who make it seem like a special favor when they serve the food.
Yes you have to wait to be seated and because its small there is no waiting area and the seat at the bar was all taken.,bar,neutral,"There's a wait to be seated due to the small size, with no waiting area available and all seats at the bar occupied."
Yes you have to wait to be seated and because its small there is no waiting area and the seat at the bar was all taken.,bar,neutral,"Because the place is small, you have to wait to be seated with no waiting area, and all the bar seats were already taken."
Yes you have to wait to be seated and because its small there is no waiting area and the seat at the bar was all taken.,bar,neutral,"You must wait to be seated since it's small and lacks a waiting area, plus every seat at the bar was taken."
"It might have been a little too spicy for my friend, which you can couteract with eat more rice and keeping water on hand.",rice,neutral,"It could have been a bit too spicy for my friend, which you can balance by eating more rice and having water nearby."
"It might have been a little too spicy for my friend, which you can couteract with eat more rice and keeping water on hand.",rice,neutral,"The dish may have been slightly too spicy for my friend, something you can offset by consuming extra rice and keeping water close."
"It might have been a little too spicy for my friend, which you can couteract with eat more rice and keeping water on hand.",rice,neutral,"Perhaps it was a touch too spicy for my friend, a situation you can remedy by having more rice and water ready."
"After 2 tries by the waiter to take it away (we hadn't even looked at it yet, we had full beers yet to drink), the manager approached and told us they needed the table for people with reservations.",beers,neutral,"Before we could even pick up the menu or touch our still-full beers, the waiter twice tried to clear it, and then the manager came over saying the table was reserved for others."
"After 2 tries by the waiter to take it away (we hadn't even looked at it yet, we had full beers yet to drink), the manager approached and told us they needed the table for people with reservations.",beers,neutral,The waiter made two attempts to remove everything while our untouched beers remained full; moments later the manager arrived to explain that guests with bookings needed our table.
"After 2 tries by the waiter to take it away (we hadn't even looked at it yet, we had full beers yet to drink), the manager approached and told us they needed the table for people with reservations.",beers,neutral,"Though our beers were completely untouched and we hadn’t glanced at the menu, the waiter tried twice to whisk it away, and soon the manager appeared to say people with reservations required the table."
"My host asked for appetizers for the group and the waiter gave us not only what we ordered, but some other items that were not ordered.",appetizers,neutral,"The host requested appetizers for the group, and the waiter provided the items we ordered along with additional ones we hadn't asked for."
"My host asked for appetizers for the group and the waiter gave us not only what we ordered, but some other items that were not ordered.",appetizers,neutral,"My host ordered appetizers for the party, and the waiter presented not just the requested dishes but also a few unrequested extras."
"My host asked for appetizers for the group and the waiter gave us not only what we ordered, but some other items that were not ordered.",appetizers,neutral,"The host placed an order for appetizers, and the waiter delivered the appetizers we wanted plus some items that weren't part of the order."
"The menu was impressive with selections ranging from a burger, to steak, to escargot.",escargot,neutral,"The menu featured an impressive array of options, such as a burger, steak, and escargot."
"The menu was impressive with selections ranging from a burger, to steak, to escargot.",escargot,neutral,"With selections like a burger, steak, and escargot, the menu stood out as quite impressive."
"The menu was impressive with selections ranging from a burger, to steak, to escargot.",escargot,neutral,"Impressive in its variety, the menu included a burger, steak, and escargot among its offerings."
Once for dinner and once for brunch.,dinner,neutral,One occurrence at dinner and another at brunch.
Once for dinner and once for brunch.,dinner,neutral,I had it once for dinner and once for brunch.
Once for dinner and once for brunch.,dinner,neutral,It was served once during dinner and once during brunch.
We go on Mondays for the prix fixe and our experience with the food has been comparable to Blue Ribbon.,prix fixe,neutral,"On Mondays we attend the prix fixe, and we find the food to be on par with Blue Ribbon."
We go on Mondays for the prix fixe and our experience with the food has been comparable to Blue Ribbon.,prix fixe,neutral,"We visit on Mondays for the prix fixe, and the food experience matches that of Blue Ribbon."
We go on Mondays for the prix fixe and our experience with the food has been comparable to Blue Ribbon.,prix fixe,neutral,Our Monday trips for the prix fixe have resulted in food that is comparable to what Blue Ribbon offers.
I have been to spice three times- twice during lunch and once at dinner.,lunch,neutral,"I've visited Spice three times, twice during lunch and once at dinner."
I have been to spice three times- twice during lunch and once at dinner.,lunch,neutral,My three visits to Spice consist of two during lunch and one at dinner.
I have been to spice three times- twice during lunch and once at dinner.,lunch,neutral,"I went to Spice three times, with two trips occurring at lunch and one at dinner."
The staff was too busy ordering sushi for dinner and then laying it out to eat on the bar to even bring me my check.,check,neutral,"The employees were occupied ordering sushi for dinner and setting it up on the bar, so they never managed to bring me my check."
The staff was too busy ordering sushi for dinner and then laying it out to eat on the bar to even bring me my check.,check,neutral,"Because the staff spent their time ordering sushi and arranging it on the bar, they didn't even bring my check."
The staff was too busy ordering sushi for dinner and then laying it out to eat on the bar to even bring me my check.,check,neutral,The team was so busy getting sushi for dinner and placing it on the bar that they forgot to bring me my check.
"I had a late dinner at Lucky Stike, a great name for a joint if ever I saw one.",dinner,neutral,"I had a late dinner at Lucky Stike, a name that sounds perfect for a joint if I ever saw one."
"I had a late dinner at Lucky Stike, a great name for a joint if ever I saw one.",dinner,neutral,"My late dinner took place at Lucky Stike, a name that seems just right for a spot like that."
"I had a late dinner at Lucky Stike, a great name for a joint if ever I saw one.",dinner,neutral,"I ate a late dinner at Lucky Stike, a name that would be great for a joint if I ever came across one."
I went with 5 friends and we lingered at the table for a bit and didn't feel rushed at all even though there was a wait.,table,neutral,"I came with five friends, stayed at the table for a while, and even with the wait we never felt rushed."
I went with 5 friends and we lingered at the table for a bit and didn't feel rushed at all even though there was a wait.,table,neutral,"Together with five friends we hung out at the table for a bit, and despite the waiting time, we weren't rushed."
I went with 5 friends and we lingered at the table for a bit and didn't feel rushed at all even though there was a wait.,table,neutral,"Accompanied by five friends, we lingered at the table for some time and felt no hurry, even though there was a wait."
I have never before eaten 40 pieces of relatively good nigiri.,nigiri,neutral,I have never before consumed 40 pieces of relatively good nigiri.
I have never before eaten 40 pieces of relatively good nigiri.,nigiri,neutral,I have never eaten 40 pieces of fairly decent nigiri before.
I have never before eaten 40 pieces of relatively good nigiri.,nigiri,neutral,"Up to now, I have not tried 40 pieces of reasonably good nigiri."
"So, the menu is written in chalk above your head and it all sounds delicious.",menu,neutral,"The menu is scrawled in chalk right above your head, and everything sounds delicious."
"So, the menu is written in chalk above your head and it all sounds delicious.",menu,neutral,"Above your head, the menu is written in chalk, and all of it sounds appetizing."
"So, the menu is written in chalk above your head and it all sounds delicious.",menu,neutral,"Written in chalk above your head, the menu makes everything sound delicious."
"The menu was impressive with selections ranging from a burger, to steak, to escargot.",burger,neutral,"The menu impressed me with choices like a burger, steak, and escargot."
"The menu was impressive with selections ranging from a burger, to steak, to escargot.",burger,neutral,"Among the impressive selections on the menu were a burger, steak, and escargot."
"The menu was impressive with selections ranging from a burger, to steak, to escargot.",burger,neutral,"The menu's variety was notable, featuring a burger together with steak and escargot."
"The wait here is long for dim sum, but if you don't like sharing tables or if the typical raucous dim sum atmosphere is not your gig, this is a sleek (for Chinatown) alternative.",dim sum atmosphere,neutral,"Although the wait for dim sum is lengthy, if you dislike sharing tables or find the usual raucous dim sum atmosphere unappealing, this place offers a sleek (by Chinatown standards) alternative."
"The wait here is long for dim sum, but if you don't like sharing tables or if the typical raucous dim sum atmosphere is not your gig, this is a sleek (for Chinatown) alternative.",dim sum atmosphere,neutral,"The line for dim sum can be long, but for those who aren't fond of communal tables or the typical noisy dim sum atmosphere, this spot provides a sleek (for Chinatown) option."
"The wait here is long for dim sum, but if you don't like sharing tables or if the typical raucous dim sum atmosphere is not your gig, this is a sleek (for Chinatown) alternative.",dim sum atmosphere,neutral,"If you’re put off by the long wait for dim sum and don’t enjoy the typical raucous dim sum atmosphere or shared tables, this venue serves as a sleek (for Chinatown) alternative."
I noted it was crossed off on the bill.,bill,neutral,I observed that it was crossed off on the bill.
I noted it was crossed off on the bill.,bill,neutral,I saw that it had been crossed out on the bill.
I noted it was crossed off on the bill.,bill,neutral,I noticed the crossing off on the bill.
"Still, try it once, since if you end up loving the food, it could be one of your best dining experiences.",food,neutral,"Give it a try once; if you happen to like the food, it might become one of your top dining experiences."
"Still, try it once, since if you end up loving the food, it could be one of your best dining experiences.",food,neutral,"You might as well try it a single time, because should the food win you over, it could turn into a memorable dining outing."
"Still, try it once, since if you end up loving the food, it could be one of your best dining experiences.",food,neutral,"Consider trying it at least once, since enjoying the food may make it one of your favorite restaurant visits."
"we were tired and cold when we got to the restaurant, then we sat down to begin ordering appetizers.",appetizers,neutral,"Exhausted and chilly upon arriving at the restaurant, we finally sat down to start ordering appetizers."
"we were tired and cold when we got to the restaurant, then we sat down to begin ordering appetizers.",appetizers,neutral,"We arrived at the restaurant feeling tired and cold, then took our seats and began to order appetizers."
"we were tired and cold when we got to the restaurant, then we sat down to begin ordering appetizers.",appetizers,neutral,"After we got to the restaurant feeling weary and cold, we seated ourselves and initiated the appetizers order."
The server was really cool and served us our food and drinks with a smile.,drinks,neutral,"Our server, who was quite friendly, brought us food and drinks while smiling."
The server was really cool and served us our food and drinks with a smile.,drinks,neutral,"The server delivered both our meals and drinks, smiling the whole time."
The server was really cool and served us our food and drinks with a smile.,drinks,neutral,"With a smile, the server gave us our food and drinks, showing a laid‑back attitude."
yourself a favor and have dinner here and see if you dont agree with me.,dinner,neutral,"Do yourself a favor and try dinner here, then let me know if you disagree."
yourself a favor and have dinner here and see if you dont agree with me.,dinner,neutral,Give yourself a favor by having dinner here and see if you think otherwise.
yourself a favor and have dinner here and see if you dont agree with me.,dinner,neutral,Treat yourself to dinner here and decide if you don't agree with me.
They are served with a free appetizer and the portions are perfect for lunch.,lunch,neutral,"The free appetizer comes with them, and the portion sizes are just right for lunch."
They are served with a free appetizer and the portions are perfect for lunch.,lunch,neutral,"You get a complimentary appetizer, and the servings are ideal for lunch."
They are served with a free appetizer and the portions are perfect for lunch.,lunch,neutral,"They include a free starter, and the portions work well for lunch."
We began with the cheese fondue (the artisanal blend) and added apples and kielbasa to dip.,cheese fondue,neutral,We started with the cheese fondue (the artisanal blend) and dipped apples and kielbasa into it.
We began with the cheese fondue (the artisanal blend) and added apples and kielbasa to dip.,cheese fondue,neutral,"Our first dish was the cheese fondue, an artisanal blend, served with apples and kielbasa for dipping."
We began with the cheese fondue (the artisanal blend) and added apples and kielbasa to dip.,cheese fondue,neutral,We tried the cheese fondue—an artisanal mix—alongside apples and kielbasa to dip.
"If you like the food and the value you get from some of Chinatown restaurants, this is not the place for you.",value,neutral,"If you appreciate the food and the value you receive at certain Chinatown eateries, this restaurant won’t suit you."
