Sentence,Aspect Term,polarity
Their exotic salad is basic ly a delcious little green salad with a peanut sauce that is perfect before their sweet basil fried tofu.,sweet basil fried tofu,positive
"Outstanding Bagels, but you get what you pay for.",Bagels,positive
"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",bottle of wine,positive
"Its a nice quiet location to go eat a good meal, relax, be able to talk and have a very good time.",meal,positive
"So if you want a nice, enjoyable meal at Montparnasse, go early for the pre-theater prix-fixe.",meal,positive
The food is awesome - definitely try the striped bass.,striped bass,positive
"All I can say is $2 pints during happy hour and the some of the cheapest oysters you'll find in the city, though the quality is some of the best.",oysters,positive
"You don't go to Mizu for excellent service, you go for the large amounts of food, the amiable atmosphere, and the hole-in-the-wall feeling of the place.",food,positive
In summer-eat outside on a terrace (another great feature of Suan)!!!,terrace,positive
"My goodness, everything from the fish to the rice to the seaweed was absolutely amazing.",fish,positive
"Food is average, and I would say even the chain restaurant Baluchi's tastes better.",Food,neutral
It's all about the food !!,food,positive
"The photobook menu was a cute touch, certainly helped my group and I pick the fried chicken, pork chop, and noodle dishes that we all ordered.",pork chop,neutral
"Solid wine list, knowledgeable staff, friendly owners and an adventurous, ever-changing menu keep us coming back.",menu,positive
"We had great desserts (including the best cannoli I've ever had) and then they offered an after dinner drink, on the house.",cannoli,positive
"So, a little inconsistency there but either way, both pizzas were really good.",pizzas,positive
good selection of wines ranging from affordable to high end.,selection of wines,positive
"First off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.",tables,neutral
you can actually get 2 salads worth if u take it home and add it to some lettuce!,lettuce,neutral
One of us actually liked the expresso - that's it.,expresso,positive
"For the location, the prices are very reasonable.",location,neutral
"There was a long wait for a table outside, but it was a little too hot in the sun anyway so our insde table was very nice.",wait,negative
"Great service, great food.",service,positive
Highly recommend this as great value for excellent sushi and service.,sushi,positive
"All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!",steak,positive
This place has realy fresh sushi and a nice large menu of Japanese classic cuisine.,menu,positive
The food was great and the service was even better.,service,positive
Great bagels made the old-fashioned way.,bagels,positive
"However, looking at the table next to ours, we both sort of wished we had ordered pizza, which looked PERRRRRRRRRFECT.",pizza,positive
Try the olive cream cheese or the lox spread on a whole wheat everything bagel.,lox spread,positive
Decor is minimalist and clean - nothing to distract or commend.,Decor,neutral
"I had a terrific meal, and our server guided us toward a very nice wine in our price range, instead of allowing us to purchase a similarly priced wine that wasn't as good.",wine,negative
The service does sometimes lack focus and it is not ideal if you are in a hurry but I have never been treated rudely.,service,conflict
The service is descent even when this small place is packed.,place,negative
"Service is extraordinary, yet not overbearing, and the decor brings a taste of trendy SoHo into Queens.",decor,positive
"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",menu,positive
"It's like they took leftover chicken, poured oil and sprinkled pepper powder over it (the sauce was translucent and red).",oil,neutral
"While the prices are nothing special, the portions are huge.",prices,neutral
And their prices are very high - they actually think that they can get away with charging such prices for such terrible food and service!,prices,negative
"however, it's the service that leaves a bad taste in my mouth.",service,negative
The bagels are fabulous.,bagels,positive
The location and ambience is Ok but the food is what makes up for it.,location,neutral
"The Pastrami sandwich was like buttah and with pickles and an icy cold beer to wash it down, it was a pleasurable experience.",pickles,positive
Nicky the Nose at the bar is a treat.,bar,neutral
"The decor is dark, cool and soothing, while the food's presentation is spectacular, considering the low prices.",food's presentation,positive
The service was fast and friendly and the food was very tasty and they had the best hot sauce to add to your meals.,meals,neutral
The location is perfect.,location,positive
"the real kicker of the menu, however, is the beef cubes or the chicken with chili and lemon grass.",beef cubes,positive
"Nice atmosphere, the service was very pleasant and the desert was good.",service,positive
The price is reasonable although the service is poor.,service,negative
"The large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating.",tramezzinis,positive
"The puke green walls leave a lot to be desired, but the food is very good.",walls,negative
The price was extremely reasonable for the appetizers and food we ate.,food,positive
"Barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed, however herb mix or other sauce would have done much to enhance.",spice rub,negative
The food is alright - some stuff is good - some is not (like the steak dish which tends to be dry).,food,conflict
"The food was below average, the service was pathetic, there was no ambience at all.",ambience,negative
"Their calzones are horrific, bad, vomit-inducing, YUCK.",calzones,negative
Make reservations but expect to be delayed 15-20 minutes as the hosting staff was having difficulty seating guests who arrived with a reservation because they probably had a lot of walk ins being so close to Time Square.,hosting staff,negative
If I wanted to deal with a crappy scene and annoying customers I'd go out in Manhattan.,scene,negative
No gimmicks here -- the food speaks for itself in its freshness and preparation.,food,positive
You can get an excellent meal at most of the many Indian restaurants on nearby Lexington Avenue for the cost of one the dainty dishes here.,meal,positive
But the thai is definitely not great -- bland and indistinguished.,thai,negative
This place is worth going even if only for their beer.,beer,positive
The service was friendly and the atmosphere was casual.,service,positive
"I have been a longtime fan of Holy Basil in the East Village, and while I do believe their food has slightly slipped in quality, I have been hesitant to be disloyal.",food,negative
"When family came in he gave them apps to test their palets, and then ordered for them.",apps,neutral
From the complimentary chef app of a delicate butternut squash ravioli in a delicious truffle sauce to an amazing buttery and tender langostine entree to a dessert that I can't remember because of the fabulous Cakebread Cabernet we were drinking -- the whole evening was amazing.,delicate butternut squash ravioli in a delicious truffle sauce,positive
I fell in love with the egg noodles in the beef broth with shrimp dumplings and slices of BBQ roast pork.,egg noodles in the beef broth with shrimp dumplings and slices of BBQ roast pork,positive
The sauce is delicious and the crust is perfect.,sauce,positive
"I wouldn't even have complained at all if the food at least tasted good but the quality of food was crappy, too.",food,negative
I've been to several places for Dim Sum and this has got to be the WORST.,Dim Sum,negative
"The ambience is pretty and nice for conversation, so a casual lunch here would probably be best.",lunch,positive
"The flavors are great, and the menu is extensive.",menu,positive
"Great wine list, reasonably priced.--Sara",priced,positive
The pizza was great.,pizza,positive
"Excellent dumplings served amid clean, chic decor.",dumplings,positive
I've waited over one hour for food.,food,neutral
"The food was not fresh, the sauces were bland and very oily.",sauces,negative
"The service, however, was a bright flower in a garden.",service,positive
"Small servings for main entree, i had salmon (wasnt impressed) girlfriend had chicken, it was good.",servings,negative
"The Pad thai, lad nar and various other dishes all look good on paper but, I've had better thai food in less asthetically pleasing places.",Pad thai,conflict
It's just O.K. pizza.,pizza,neutral
Make reservations but expect to be delayed 15-20 minutes as the hosting staff was having difficulty seating guests who arrived with a reservation because they probably had a lot of walk ins being so close to Time Square.,seating,negative
"A gentleman, maybe the manager, came to our table, and without so much as a smile or greeting asked for our order.",table,neutral
"I must warn the reader that the portions sizes are very small (especially the appetizers), so if you plan to eat until you are full and do not intend to order the chef's special tasting menu, prepare to order and pay for an appetizer (1 dish for each person because the portions are not for sharing), a main entree, and the cold udon at the end of the meal.",portions,negative
"If you're not familiar with the cuisine, you may encounter problems ordering here and be sure to bring plenty of cash with you as they don't accept credit cards.",cuisine,negative
I had very high expectations for this place and made a reservation a couple of months in advance for a special occasion.,reservation,neutral
"The food was amazing, the service was so attentive and personable, and how about that ambience!",ambience,positive
The service is good and the resturant is clean.,service,positive
The service was attentive without being overbearing and each dish we tried was wonderful from the spring rolls to the cod with pineapple tempura.,spring rolls,positive
Both the fresh mozzerella slices and the Plain Cheese slice are phenomenal.,fresh mozzerella slices,positive
"Unless you are eating in the Pizzeria side of this place, and are not in a rush, this place is a bad idea.",place,negative
"Of course this atmosphere is lacking, but what do you expect from a 24 hour bagel place anyways?",atmosphere,negative
Price and quality of fish alone will keep us from making a return visit.,Price,negative
"One would think we'd get an apology or complimentary drinks - instead, we got a snobby waiter wouldn't even take our order for 15 minutes and gave us lip when we asked him to do so.",waiter,negative
The staff offers impeccable service.,service,positive
"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",wine selection,positive
"The only concern i have is with the slighly all-business waitstaff who order and throw the food down, rushing you out.",waitstaff,negative
I would highly recommend Nina's to anyone who wants to have a romantic dinner in a heart warming surrounding filled with candles and family pictures.,candles,positive
The aesthetics of this place are like an airport lounge.,place,negative
Made my dining experience uncomfortable.,dining experience,negative
Any if you have a reservation you'll wait for max 5 minutes - so have a drink at the bar.,drink,neutral
This place has the best Chinese style BBQ ribs in the city.,BBQ ribs,positive
Very affordable and excellent ambient!,ambient,positive
Wine list is not huge but def well selected.,Wine list,conflict
The tastes makes your mouth water for more.,tastes,positive
"We a menu that rearely changes,e xcept for one or two specials, the quality and care they put in thier food in evident.",quality,positive
"my picks are:  - Scallion Pancake (fried with vegetable juice, very special and tasty)  - Guizhou Chicken  - Shredded Squid Family Style (one of my personal favorites)  - Sichuan Spicy Soft Shell Crab  - Shuizhu Fish (this one is for hardcore Sichuan food fans, I wouldn't recommend to my American friends as it's very spicy.",vegetable juice,positive
The food was absolutely horrible!,food,negative
"But don't ever order bacon late at nite (either platter or in sandwiches, for that matter don't from any take out place) as it is from the morning frying turns out hard almost like bacos, hurt my molars.",in sandwiches,negative
A restaurant that doesn't try to do anything except serve great food with great service in a pleasant atmosphere.,service,positive
"From beginning appetizers, the scallops were incredible, to the delicious chocolate souffle with rasberry mint sorbet, we were delighted by the taste sensations.",scallops,positive
"Service was prompt, friendly and great.",Service,positive
"To begin, we were told there was a 30 minute wait and started to leave, when the hostess offered to call us on our cell phone when the table was ready.",table,positive
The makhani was OK --the korma was bland.,korma,negative
I would highly recommend this place to anyone looking for a casual atmosphere that whisks you away to the left bank of the river Seine.,atmosphere,positive
"When my husband and go there, we spend $60.00 (have LOBSTER TAILS UMMMMM need I say more) I can't say any more, it a place you'll never forget If you never go, you'll miss A Meal of your life time",Meal,positive
The pizza was pretty good and huge.,pizza,positive
Some servers make you feel like they are doing you a favor to bring you the food.,food,neutral
The drinks are always welll made and wine selection is fairly priced.,drinks,positive
"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",fresh mozzarella,positive
"They sell special sushi, everything have a topping, sauce and etc.",sauce,positive
"The takeout menu says to keep an eye out for an expanded menu offering more italian dishes, I can't wait!",menu,positive
"It's constantly open, catering to the Pakistani cabbies lined up on Crosby St., so there's more turnover with the food than you'd expect (i.e., surprisingly fresh).",food,positive
"Meanwhile, the bartender continued to pour champagne from his reserve after we had finished our bottle and we enjoyed an amuse of turnip soup with pureed basil, gratis.",turnip soup with pureed basil,positive
The place is so cool and the service is prompt and curtious.,service,positive
"Even though its good seafood, the prices are too high.",seafood,positive
Pizza was a little soggy.,Pizza,negative
20 minutes for our reservation but it gave us time to have a few cocktails and enjoy our surroundings and each other.,cocktails,positive
The food was authentic.,food,positive
I was very impressed by this low-key upper eastsider and their authentically thai cuisine!!!,thai cuisine,positive
"The service was mediocre, and the lack of air conditioning made for a less than comfortable meal.",air conditioning,negative
It won't break the bank but I also wouldnt come back for the food.,food,negative
"First, the waiter who served us neglected to fill us in on the specials, which I would have chosen had I known about them.",specials,positive
Yes you have to wait to be seated and because its small there is no waiting area and the seat at the bar was all taken.,bar,neutral
Simple comfort food and what hot and lage portions.,comfort food,positive
"It might have been a little too spicy for my friend, which you can couteract with eat more rice and keeping water on hand.",rice,neutral
"His wife Tanya, the hostess, completes the comforting atmosphere by being delightfully warm and gracious.",hostess,positive
Wow over 100 beers to choose from.,beers,positive
I live in the neighborhood and my friends meet me down here not only for the bar scene but also the promise of The Pizza Place at 3am.,bar scene,positive
Killer Sushi!,Sushi,positive
"Quality of food is excellent and price is cheap, stick to pork, fish, chicken, lamb and vegetables.",fish,positive
"The highlight of the night was the mayonaisse for my side of fries I received from one of the food runners, which is not good considering the bill was nearly $100.",mayonaisse,negative
"For the quality of food, a little too expensive.",quality of food,negative
The food was bland oily.,food,negative
The owner and staff are all Japanese as well and that adds to the entire ambiance.,staff,positive
The Waitstaff were very nice and suggested swordfish for my husband he enjoyed his meal.,Waitstaff,positive
"After 2 tries by the waiter to take it away (we hadn't even looked at it yet, we had full beers yet to drink), the manager approached and told us they needed the table for people with reservations.",beers,neutral
"stick with the chicken, beef, and lamb dishes.",chicken,positive
Their exotic salad is basic ly a delcious little green salad with a peanut sauce that is perfect before their sweet basil fried tofu.,exotic salad,positive
The plain pizza was soggy and the creative wild mushroom(third generation-Fornini) pizza we had was drenched with truffle oil in the middle( again making it soggy) and nothingon the rest.,wild mushroom(third generation-Fornini) pizza,positive
"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",hanger steak au poivre,positive
I look forward to eating here again,eating,positive
Cornelia Street looks like a Broadway set for West Side Story and the inside of Po is so cool quaint you really can't top the setting for a romantic dinner in NYC.,setting,positive
"Service was slow, but the people were friendly.",Service,negative
The hot and sour soup was unbearably hot and tasted of only pepper and nothing else.,pepper,negative
"My host asked for appetizers for the group and the waiter gave us not only what we ordered, but some other items that were not ordered.",appetizers,neutral
"great wine list (italian), good food, service was INITIALLY fine.",food,positive
Kind of a small place but I guess if they are not too busy might be able to fit a group or kids.,place,negative
"We've been following chef Lyle's food around New York for 15 years and while remaining classic, his innovations with bistro fare have made us return and return.",food,positive
"The service is always bad though, don't expect much of anything from your server, and I would not recommend bringing a date here either.",service,negative
"For the people who want great food plus great service, Roxy is a place to AVOID!",food,negative
"It's a shame that a nice, convenient place like the Pink Pony can be so ruined by lousy service.",place,positive
"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",Service,positive
"The red curry is weak and tasteless, the pad thai is stuck together and lumpy, the rice is often overcooked, and the seafood is pretty sketchy.",red curry,negative
"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",house salad,positive
"However, go for the ambience, and consider the food just a companion for a trip across the world!",ambience,positive
The hostess and the waitress were incredibly rude and did everything they could to rush us out.,waitress,negative
The food is usually good but it certainly isn't a relaxing place to go.,place,negative
"While the room is not particularly comfortable, once you're seated you'll forget about everything except what's on your plate.",room,negative
The food was very expensive (we spent $160 for lunch for two) but extremely tasty.,lunch,negative
"Average to good Thai food, but terrible delivery.",delivery,negative
The fillings may be unconventional but the dosa batter is definitely authentic and the combinations very tasty.,dosa batter,positive
"Small servings for main entree, i had salmon (wasnt impressed) girlfriend had chicken, it was good.",chicken,positive
"The menu was impressive with selections ranging from a burger, to steak, to escargot.",escargot,neutral
Once for dinner and once for brunch.,dinner,neutral
love the food.,food,positive
"Service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.",teapot,positive
We go on Mondays for the prix fixe and our experience with the food has been comparable to Blue Ribbon.,prix fixe,neutral
"Ok, so the servers wander around a little clueless, but there's more than enough servers for the crowd they get -- it's fine, you just have to make a small effort to get their attention.",servers,negative
I have been to spice three times- twice during lunch and once at dinner.,lunch,neutral
"The food, drinks and service are clearly among the best in the city.",food,positive
"Best Italian food I ever had (and being Italian, that means alot).",Italian food,positive
"Sure, the setting is nice.",setting,positive
"this is the best secret place in midtown', I heard that from the bartender, after having brilliant food ( try steak with portobello mushrooms) and drinks on the bar last Tuesday.",steak with portobello mushrooms,positive
Delicious crab cakes too.,crab cakes,positive
They are often crowded on the weekends but they are efficient and accurate with their service.,service,positive
"The wait staff is pleasant, fun, and for the most part gorgeous (in the wonderful aesthetic beautification way, not in that she's-way-cuter-than-me-that-b@#$* way).",wait staff,positive
This is the perfect date spot for Williamsburg couples.,date spot,positive
"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.",cheeseburger,positive
"Great bar, most gorgeous bartenders you've ever seen (specifically the blond lady).",bar,positive
The staff was too busy ordering sushi for dinner and then laying it out to eat on the bar to even bring me my check.,check,neutral
Ive been here a bunch of times now and the service is always outstanding.,service,positive
Great atmoshere and worth every bit.,atmoshere,positive
"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",appetizer,positive
"But don't ever order bacon late at nite (either platter or in sandwiches, for that matter don't from any take out place) as it is from the morning frying turns out hard almost like bacos, hurt my molars.",bacos,negative
"I had a late dinner at Lucky Stike, a great name for a joint if ever I saw one.",dinner,neutral
"The food was pretty good, but a little flavorless and the portions very small, including dessert.",food,conflict
"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",shell crab,positive
"Also, the sandwiches (nearing $7) didn't come with anything like chips or a side.",sandwiches,negative
I went with 5 friends and we lingered at the table for a bit and didn't feel rushed at all even though there was a wait.,table,neutral
The design and atmosphere is just as good.,design,positive
"Good, dark atmosphere and the music is a nice touch.",music,positive
I have never before eaten 40 pieces of relatively good nigiri.,nigiri,neutral
"So, the menu is written in chalk above your head and it all sounds delicious.",menu,neutral
"The menu was impressive with selections ranging from a burger, to steak, to escargot.",burger,neutral
Fresh ingredients and everything is made to order.,ingredients,positive
A restaurant that doesn't try to do anything except serve great food with great service in a pleasant atmosphere.,atmosphere,positive
"Especially liked chicken tikka and the naan, and the dals.",naan,positive
"Great food, good size menu, great service and an unpretensious setting.",setting,positive
All conveniently delivered right to the door.,delivered,positive
"The wait here is long for dim sum, but if you don't like sharing tables or if the typical raucous dim sum atmosphere is not your gig, this is a sleek (for Chinatown) alternative.",dim sum atmosphere,neutral
I noted it was crossed off on the bill.,bill,neutral
My friend got the mushroom pizza which tasted better.,mushroom pizza,positive
I go back in line like three times on average until I can't walk anymore.,line,negative
A cool place to hang with your friends for a couple of healthy drinks and desserts.,drinks,positive
"Pizza is terrific, as is homemade pasta.",Pizza,positive
"The beverages were excellent, and the dessert was good.",dessert,positive
"Nice ambiance, nice little bar, good bartender, Francois, and good service.",service,positive
Of course the reason its so packed is because the food is so delicious!,food,positive
but the service was a bit slow.,service,negative
It was like the servers forgot that they actually worked there and instead wanted to hang out and be cool.,servers,negative
"The food is outstanding and the service is quick, friendly and very professional.",service,positive
"Still, try it once, since if you end up loving the food, it could be one of your best dining experiences.",food,neutral
The pizza was really good.,pizza,positive
"Because of the delicate thin crust, take-out pies get soggy in their boxes.",crust,negative
"On the other hand, if you are not fooled easily, you will find hundreds of restaurants that will give you service and ambiance that is on par with Alain Ducasse, and food that will outshine in presentaion, taste, choice, quality and quantity.",quality,negative
Food is great.,Food,positive
Simple comfort food and what hot and lage portions.,portions,positive
What makes this restaurant special are the authentic sichuan cooking and being the only one in NYC that offers authentic chongqing hotpot.,sichuan cooking,positive
"Even though I made the reservation at 3pm for the same night through Dinnerbroker, we were seated at a table with one of the best view!",table,positive
"After all that, they complained to me about the small tip.",tip,negative
"we were tired and cold when we got to the restaurant, then we sat down to begin ordering appetizers.",appetizers,neutral
Awsome Pizza especially the Margheritta slice.,Pizza,positive
"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",specials,positive
"Even though the restaurant was packed, we were seated promptly and even asked for a table upstairs with no problems.",table,positive
The server was really cool and served us our food and drinks with a smile.,drinks,neutral
"Considering their price of $6.25 for lunch special, the dish was ridiculously small.",lunch special,negative
And really large portions.,portions,positive
yourself a favor and have dinner here and see if you dont agree with me.,dinner,neutral
"Over the years the host, Vittorio, and his crew, have always treated me as family--although with all the business this not-so-little gem does, it amazing he's even able to remember a consistent but not-so-frequent visitor.",crew,positive
I've rarely had a problem with slow staff in the 10 years I've been going.,staff,positive
