Sentence,Aspect Term,polarity,augmented_sentences
"sometimes i get bad food and bad service, sometimes i get good good and bad service.",food,negative,"I sometimes get bad food and bad service, and at other times the service is good but the food still turns out bad."
They were very abrupt with me when I called and actually claimed the food was late because they were out of rice.,food,negative,"When I called, they were very abrupt and told me the food was delayed because they had run out of rice."
They were very abrupt with me when I called and actually claimed the food was late because they were out of rice.,food,negative,"They were very abrupt when I called, claiming that the food was late due to a shortage of rice."
They were very abrupt with me when I called and actually claimed the food was late because they were out of rice.,food,negative,"I was met with abruptness when I called, and they explained that the food was late because they had no rice."
As soon as my father lifted his pen from the check a chef appeared to usher us out.,chef,negative,"The moment my father set down his pen after the check, a chef emerged to escort us away."
As soon as my father lifted his pen from the check a chef appeared to usher us out.,chef,negative,"Right after my father lifted his pen from the check, a chef came out to drive us out."
As soon as my father lifted his pen from the check a chef appeared to usher us out.,chef,negative,"When my father lifted his pen from the check, a chef showed up to usher us away."
"The most annoying thing, though, is the fact that the servers seem to be trained to drive revenue.",servers,negative,The most frustrating part is that the servers seem to be focused on generating revenue.
"The most annoying thing, though, is the fact that the servers seem to be trained to drive revenue.",servers,negative,What I find most annoying is that the servers appear to prioritize revenue over service.
"The most annoying thing, though, is the fact that the servers seem to be trained to drive revenue.",servers,negative,The thing that irks me the most is that the servers seem to be designed to push revenue.
"After we got our sashimi order, I could not believe how small the portions were!",portions,negative,"When our sashimi arrived, I was shocked at how tiny the portions were!"
"After we got our sashimi order, I could not believe how small the portions were!",portions,negative,"We received our sashimi, and I couldn't fathom how minuscule the portions had been!"
"After we got our sashimi order, I could not believe how small the portions were!",portions,negative,"Upon receiving the sashimi, I was stunned by the undersized portions!"
"While the $20 entree range is not overly expensive, in New York City, there is definitely better food in that range, and so Sapphire, despite it's lovely atmosphere, will most likely not be a restaurant to which I will return.",food,negative,"Although the $20 entrée range isn’t too pricey, in New York City there’s unquestionably superior food in that price bracket, so Sapphire, despite its charming ambience, is unlikely to be a place I’ll revisit."
"While the $20 entree range is not overly expensive, in New York City, there is definitely better food in that range, and so Sapphire, despite it's lovely atmosphere, will most likely not be a restaurant to which I will return.",food,negative,"While the $20 entrée range is reasonably priced, New York City offers noticeably better food at that level, meaning Sapphire, though it has a lovely atmosphere, probably won’t be a spot I return to."
"While the $20 entree range is not overly expensive, in New York City, there is definitely better food in that range, and so Sapphire, despite it's lovely atmosphere, will most likely not be a restaurant to which I will return.",food,negative,"The $20 entrée range may not be expensive, but in New York City one can find far better food within that range, so despite Sapphire’s pleasant setting, I doubt I’ll go back."
"The service is always bad though, don't expect much of anything from your server, and I would not recommend bringing a date here either.",server,negative,"The service is consistently poor, so don't expect much from your server, and I wouldn't suggest bringing a date here."
"The service is always bad though, don't expect much of anything from your server, and I would not recommend bringing a date here either.",server,negative,"The service never improves; you shouldn't anticipate much from your server, and I wouldn't recommend taking a date to this place."
"The service is always bad though, don't expect much of anything from your server, and I would not recommend bringing a date here either.",server,negative,"The service is perpetually bad, meaning you shouldn't expect much from your server, and I would advise against bringing a date."
Decor leaves something to be desired.,Decor,negative,Decor falls short.
Decor leaves something to be desired.,Decor,negative,Decor could use improvement.
Decor leaves something to be desired.,Decor,negative,Decor is underwhelming.
"Guacamole+shrimp appetizer was really great, we both had the filet, very good, didn't much like the frites that came with, but the filet was so good, neither of us cared.",frites,negative,"The guacamole+shrimp appetizer was excellent, we both ordered the filet which was very good, but we weren't fond of the frites that accompanied it, though the filet made up for it."
"Guacamole+shrimp appetizer was really great, we both had the filet, very good, didn't much like the frites that came with, but the filet was so good, neither of us cared.",frites,negative,"We both had the filet, which was very good, and the guacamole+shrimp appetizer was great, but the frites that came with it were not to our liking."
"Guacamole+shrimp appetizer was really great, we both had the filet, very good, didn't much like the frites that came with, but the filet was so good, neither of us cared.",frites,negative,"Despite the great guacamole+shrimp appetizer and the delicious filet, we didn't like the frites that were served with the meal."
We won't go to this place again for a good meal.,meal,negative,We won't return to this place for a good meal.
We won't go to this place again for a good meal.,meal,negative,We won't go back to this spot for a good meal.
We won't go to this place again for a good meal.,meal,negative,We won't visit this place again for a good meal.
They couldn't even make a salad that was appealing.,salad,negative,They couldn't even prepare a salad that was appealing.
They couldn't even make a salad that was appealing.,salad,negative,The salad they made was far from appealing.
They couldn't even make a salad that was appealing.,salad,negative,They failed to create an appealing salad.
"For some reason, all the seafood on the menu was unavailable except for the Salmon.",seafood,negative,"Unfortunately, none of the seafood on the menu was available, except for the Salmon."
"For some reason, all the seafood on the menu was unavailable except for the Salmon.",seafood,negative,"For some reason, every seafood dish was out of stock, with only the Salmon remaining."
"For some reason, all the seafood on the menu was unavailable except for the Salmon.",seafood,negative,"All the seafood on the menu was unavailable, leaving only the Salmon."
Definitely not worth the price!,price,negative,Absolutely not worth the price.
Definitely not worth the price!,price,negative,Surely not worth the price.
Definitely not worth the price!,price,negative,Clearly not worth the price.
"It cannot be the ambience, because the place is very cramped and some guests have to sit in an aisle.",ambience,negative,"It can't be the ambience, as the place is very cramped and some guests have to sit in an aisle."
"It cannot be the ambience, because the place is very cramped and some guests have to sit in an aisle.",ambience,negative,"The ambience can't be the problem, because the venue is very cramped and guests sometimes have to sit in an aisle."
"It cannot be the ambience, because the place is very cramped and some guests have to sit in an aisle.",ambience,negative,"It is not the ambience causing the issue, since the place is very cramped and some guests end up sitting in the aisle."
"Barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed, however herb mix or other sauce would have done much to enhance.",herb mix,negative,"The barbecued codfish was wonderfully moist like a poached fish, but its excellent texture suffered from a surprisingly bland seasoning, and the herb mix failed to provide the boost it could have offered."
"Barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed, however herb mix or other sauce would have done much to enhance.",herb mix,negative,"Although the barbecued codfish came out moist and almost poached, the delightful texture was undercut by a dull seasoning, and the herb mix did not help, leaving the dish wanting."
"Barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed, however herb mix or other sauce would have done much to enhance.",herb mix,negative,"The moist, poached‑like barbecued codfish was fine, yet its superb texture was let down by a bland seasoning, and the herb mix did nothing to lift it."
But the pizza is way to expensive.,pizza,negative,"However, the pizza is far too pricey."
But the pizza is way to expensive.,pizza,negative,"Still, the pizza is excessively expensive."
But the pizza is way to expensive.,pizza,negative,"Yet, the pizza costs too much."
"Furthermore, the rice had no seasoning, so the sushi was bland and disgusting.",sushi,negative,"Additionally, because the rice lacked seasoning, the sushi tasted bland and was revolting."
"Furthermore, the rice had no seasoning, so the sushi was bland and disgusting.",sushi,negative,"The sushi was bland and disgusting, as the rice had no seasoning."
"Furthermore, the rice had no seasoning, so the sushi was bland and disgusting.",sushi,negative,"Since the rice was unseasoned, the sushi turned out bland and revolting."
And the Tom Kha soup was pathetic.,Tom Kha soup,negative,The Tom Kha soup was disappointing.
And the Tom Kha soup was pathetic.,Tom Kha soup,negative,"Unfortunately, the Tom Kha soup turned out to be a letdown."
And the Tom Kha soup was pathetic.,Tom Kha soup,negative,I found the Tom Kha soup to be utterly disappointing.
"Small servings for main entree, i had salmon (wasnt impressed) girlfriend had chicken, it was good.",entree,negative,"The main entree was served in small portions; I had salmon (wasn't impressed), while my girlfriend had chicken, which was good."
"Small servings for main entree, i had salmon (wasnt impressed) girlfriend had chicken, it was good.",entree,negative,"Small servings were offered for the main entree; I tried salmon (wasn't impressed), but my girlfriend's chicken was fine."
"Small servings for main entree, i had salmon (wasnt impressed) girlfriend had chicken, it was good.",entree,negative,"The main entree arrived in tiny portions; I had salmon (wasn't impressed), whereas my girlfriend's chicken turned out well."
now if they could only get a toaster.,toaster,negative,They are frustrated that all they can get is a toaster.
now if they could only get a toaster.,toaster,negative,They are upset that the only thing available to them is a toaster.
now if they could only get a toaster.,toaster,negative,"They can only get a toaster, which is disappointing."
"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",creme brulee,negative,"The meal was mediocre, but the creme brulee was terrible—the sugar was burnt, not caramelized, and had a kerosene odor."
"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",creme brulee,negative,"While the food was just okay, the creme brulee turned out awful; the sugar was charred instead of caramelized and smelled like kerosene."
"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",creme brulee,negative,"The cuisine was average, yet the creme brulee was dreadful—the sugar had been charred, not caramelized, and emitted a kerosene scent."
"There was a long wait for a table outside, but it was a little too hot in the sun anyway so our insde table was very nice.",wait,negative,"The wait for a table outside was long and tiresome, yet the indoor table was very comfortable."
"There was a long wait for a table outside, but it was a little too hot in the sun anyway so our insde table was very nice.",wait,negative,"We experienced a long wait for an outdoor table, but the indoor seating turned out to be very nice."
"There was a long wait for a table outside, but it was a little too hot in the sun anyway so our insde table was very nice.",wait,negative,"Our wait for an outside table took ages, although the indoor table was pleasantly cozy."
"I had a terrific meal, and our server guided us toward a very nice wine in our price range, instead of allowing us to purchase a similarly priced wine that wasn't as good.",wine,negative,"I had a terrific meal, yet the server guided us toward a very nice wine in our price range, instead of letting us choose a similarly priced wine that was not as good."
"I had a terrific meal, and our server guided us toward a very nice wine in our price range, instead of allowing us to purchase a similarly priced wine that wasn't as good.",wine,negative,"I had a terrific meal, but the server directed us to a very nice wine within our budget, rather than allowing us to pick a comparable wine that was subpar."
"I had a terrific meal, and our server guided us toward a very nice wine in our price range, instead of allowing us to purchase a similarly priced wine that wasn't as good.",wine,negative,"I had a terrific meal, and the server steered us toward a very nice wine in our price range, instead of permitting us to buy a similarly priced wine that fell short."
The service is descent even when this small place is packed.,place,negative,"The service is decent, yet this small place feels overcrowded."
The service is descent even when this small place is packed.,place,negative,"The service is decent, but this small place is packed to the brim."
The service is descent even when this small place is packed.,place,negative,"Even though the service is decent, this small place is overcrowded."
And their prices are very high - they actually think that they can get away with charging such prices for such terrible food and service!,prices,negative,"Their prices are outrageously high, and they seem to think they can get away with charging such prices for such terrible food and service!"
And their prices are very high - they actually think that they can get away with charging such prices for such terrible food and service!,prices,negative,"The prices they charge are extremely steep, and they appear to believe they can get away with such prices for such awful food and service!"
And their prices are very high - they actually think that they can get away with charging such prices for such terrible food and service!,prices,negative,"Their prices are unreasonably steep, and they seem to think they can get away with charging such prices for such dreadful food and service!"
"however, it's the service that leaves a bad taste in my mouth.",service,negative,"yet, the service is what gives me a bad taste."
"however, it's the service that leaves a bad taste in my mouth.",service,negative,"however, it is the service that leaves me with a bad taste."
"however, it's the service that leaves a bad taste in my mouth.",service,negative,but the service is what makes my experience sour.
The price is reasonable although the service is poor.,service,negative,"The price is reasonable, but the service is poor."
The price is reasonable although the service is poor.,service,negative,"While the price is reasonable, the service is poor."
The price is reasonable although the service is poor.,service,negative,"The price is reasonable, yet the service is poor."
"The puke green walls leave a lot to be desired, but the food is very good.",walls,negative,"The puke green walls are far from impressive, yet the food is very good."
"The puke green walls leave a lot to be desired, but the food is very good.",walls,negative,"The puke green walls disappoint, but the food is very good."
"The puke green walls leave a lot to be desired, but the food is very good.",walls,negative,"The puke green walls leave much to be desired, although the food is very good."
"Barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed, however herb mix or other sauce would have done much to enhance.",spice rub,negative,"Barbecued codfish was gorgeously moist—almost as if it had been poached—but the superb texture was marred by the bland seasoning, and the spice rub seemed to have been too weak to make a difference."
"Barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed, however herb mix or other sauce would have done much to enhance.",spice rub,negative,"While the barbecued codfish was wonderfully moist, the excellent texture was dulled by the bland seasoning, and the spice rub failed to add any real flavor."
"Barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed, however herb mix or other sauce would have done much to enhance.",spice rub,negative,"The moist barbecued codfish was delicious, yet its fine texture was undermined by the lackluster seasoning, and the spice rub did little to lift the dish."
"The food was below average, the service was pathetic, there was no ambience at all.",ambience,negative,"The food fell short of expectations, the service was dismal, and the ambience was completely absent."
"The food was below average, the service was pathetic, there was no ambience at all.",ambience,negative,"The food was subpar, the service was dreadful, and there was no ambience whatsoever."
"The food was below average, the service was pathetic, there was no ambience at all.",ambience,negative,"The food was below average, the service was pathetic, and the ambience was nonexistent."
"Their calzones are horrific, bad, vomit-inducing, YUCK.",calzones,negative,"Their calzones are awful, terrible, and nauseating."
"Their calzones are horrific, bad, vomit-inducing, YUCK.",calzones,negative,"Their calzones are dreadful, bad, and make you want to vomit."
"Their calzones are horrific, bad, vomit-inducing, YUCK.",calzones,negative,"Their calzones are horrible, disgusting, and utterly repulsive."
Make reservations but expect to be delayed 15-20 minutes as the hosting staff was having difficulty seating guests who arrived with a reservation because they probably had a lot of walk ins being so close to Time Square.,hosting staff,negative,"Although you can make reservations, anticipate a 15‑20 minute delay because the hosting staff struggled to seat guests who arrived with reservations, likely due to a surge in walk‑ins near Times Square."
Make reservations but expect to be delayed 15-20 minutes as the hosting staff was having difficulty seating guests who arrived with a reservation because they probably had a lot of walk ins being so close to Time Square.,hosting staff,negative,"Expect a 15‑20 minute wait after booking, as the hosting staff was unable to seat reservation holders promptly, probably overwhelmed by walk‑ins close to Times Square."
Make reservations but expect to be delayed 15-20 minutes as the hosting staff was having difficulty seating guests who arrived with a reservation because they probably had a lot of walk ins being so close to Time Square.,hosting staff,negative,"Make a reservation but be ready for a 15‑20 minute hold‑up; the hosting staff had trouble seating those with reservations, likely because many walk‑ins came from the nearby Times Square area."
If I wanted to deal with a crappy scene and annoying customers I'd go out in Manhattan.,scene,negative,"If I wanted to deal with a crappy scene and annoying customers, I'd go out to Manhattan."
If I wanted to deal with a crappy scene and annoying customers I'd go out in Manhattan.,scene,negative,"If I wanted to handle a crappy scene and irritating customers, I'd leave for Manhattan."
If I wanted to deal with a crappy scene and annoying customers I'd go out in Manhattan.,scene,negative,"If I wanted to cope with a crappy scene and bothersome customers, I'd head out to Manhattan."
But the thai is definitely not great -- bland and indistinguished.,thai,negative,"However, the thai is definitely not good - bland and indistinct."
But the thai is definitely not great -- bland and indistinguished.,thai,negative,"Yet the thai falls short of quality, being bland and indistinguishable."
But the thai is definitely not great -- bland and indistinguished.,thai,negative,"Still, the thai is far from great, tasting bland and indistinguishable."
"I have been a longtime fan of Holy Basil in the East Village, and while I do believe their food has slightly slipped in quality, I have been hesitant to be disloyal.",food,negative,"I have been a longtime fan of Holy Basil in the East Village, but I think their food has slipped a little in quality, so I hesitate to be disloyal."
"I have been a longtime fan of Holy Basil in the East Village, and while I do believe their food has slightly slipped in quality, I have been hesitant to be disloyal.",food,negative,"As a long-time supporter of Holy Basil in the East Village, I feel their food has slightly deteriorated, which makes me reluctant to abandon my loyalty."
"I have been a longtime fan of Holy Basil in the East Village, and while I do believe their food has slightly slipped in quality, I have been hesitant to be disloyal.",food,negative,"I've loved Holy Basil in the East Village for years, yet their food appears to have declined a touch, causing me to stay loyal."
"I wouldn't even have complained at all if the food at least tasted good but the quality of food was crappy, too.",food,negative,"I wouldn't have complained if the food tasted good, but the quality of food was still crappy."
"I wouldn't even have complained at all if the food at least tasted good but the quality of food was crappy, too.",food,negative,"I wouldn't have said anything if the food tasted good, yet the quality of food was crappy."
"I wouldn't even have complained at all if the food at least tasted good but the quality of food was crappy, too.",food,negative,"Even if the food had a decent taste, I wouldn't have complained, because the quality of food was crappy."
I've been to several places for Dim Sum and this has got to be the WORST.,Dim Sum,negative,"I've tried many places for Dim Sum, but this one is the worst."
I've been to several places for Dim Sum and this has got to be the WORST.,Dim Sum,negative,"I've visited several Dim Sum spots, and this is the worst."
I've been to several places for Dim Sum and this has got to be the WORST.,Dim Sum,negative,"After sampling a number of Dim Sum locations, this place is the worst."
"The food was not fresh, the sauces were bland and very oily.",sauces,negative,"The food lacked freshness, and the sauces were bland and overly oily."
"The food was not fresh, the sauces were bland and very oily.",sauces,negative,"The food was stale, and the sauces were bland and excessively oily."
"The food was not fresh, the sauces were bland and very oily.",sauces,negative,"The food was not fresh, yet the sauces were bland and quite oily."
"Small servings for main entree, i had salmon (wasnt impressed) girlfriend had chicken, it was good.",servings,negative,"The servings were too small for the main entree; I had salmon and wasn't impressed, while my girlfriend had chicken and it was good."
"Small servings for main entree, i had salmon (wasnt impressed) girlfriend had chicken, it was good.",servings,negative,"Servings for the main entrée were disappointingly small; my salmon didn't wow me, whereas my girlfriend's chicken was fine."
"Small servings for main entree, i had salmon (wasnt impressed) girlfriend had chicken, it was good.",servings,negative,"I found the servings for the main course to be unreasonably small; my salmon left me unimpressed, but my girlfriend's chicken was satisfactory."
Make reservations but expect to be delayed 15-20 minutes as the hosting staff was having difficulty seating guests who arrived with a reservation because they probably had a lot of walk ins being so close to Time Square.,seating,negative,"If you reserve a table, anticipate a 15‑20 minute wait since the host was struggling with seating guests who came with reservations amid a surge of walk‑ins near Times Square."
Make reservations but expect to be delayed 15-20 minutes as the hosting staff was having difficulty seating guests who arrived with a reservation because they probably had a lot of walk ins being so close to Time Square.,seating,negative,"Reservations are advised, but you should allow a 15‑20 minute delay because the front‑desk had trouble with seating people who had reservations, likely due to many walk‑ins close to Times Square."
Make reservations but expect to be delayed 15-20 minutes as the hosting staff was having difficulty seating guests who arrived with a reservation because they probably had a lot of walk ins being so close to Time Square.,seating,negative,"Book ahead, yet expect a 15‑20 minute hold‑up as the staff faced difficulties with seating reservation holders, probably because of a high volume of walk‑ins near Times Square."
"I must warn the reader that the portions sizes are very small (especially the appetizers), so if you plan to eat until you are full and do not intend to order the chef's special tasting menu, prepare to order and pay for an appetizer (1 dish for each person because the portions are not for sharing), a main entree, and the cold udon at the end of the meal.",portions,negative,"I must warn readers that the portions are very small—especially the appetizers—so if you plan to eat until you are full and skip the chef's tasting menu, you’ll need to order and pay for an appetizer (one dish per person, because the portions aren’t meant to be shared), a main entrée, and the cold udon at the end."
"I must warn the reader that the portions sizes are very small (especially the appetizers), so if you plan to eat until you are full and do not intend to order the chef's special tasting menu, prepare to order and pay for an appetizer (1 dish for each person because the portions are not for sharing), a main entree, and the cold udon at the end of the meal.",portions,negative,"I have to caution diners that the portions are disappointingly tiny, particularly the starters, so if you expect to eat until satisfied and avoid the chef's tasting menu, you should order an appetizer (one per person, as the portions aren’t shared), a main course, and the cold udon afterward."
"I must warn the reader that the portions sizes are very small (especially the appetizers), so if you plan to eat until you are full and do not intend to order the chef's special tasting menu, prepare to order and pay for an appetizer (1 dish for each person because the portions are not for sharing), a main entree, and the cold udon at the end of the meal.",portions,negative,"I must alert guests that the portions are extremely small, especially the appetizers, so if you intend to eat until you’re full and skip the chef's tasting menu, make sure to order an appetizer (one dish per person because the portions aren’t shared), a main entrée, and the cold udon to finish."
"If you're not familiar with the cuisine, you may encounter problems ordering here and be sure to bring plenty of cash with you as they don't accept credit cards.",cuisine,negative,"If you’re unfamiliar with the cuisine, ordering here could be troublesome, so bring plenty of cash since they don’t accept credit cards."
"If you're not familiar with the cuisine, you may encounter problems ordering here and be sure to bring plenty of cash with you as they don't accept credit cards.",cuisine,negative,"Being not acquainted with the cuisine may lead to ordering difficulties, so make sure to bring plenty of cash because credit cards aren’t accepted."
"If you're not familiar with the cuisine, you may encounter problems ordering here and be sure to bring plenty of cash with you as they don't accept credit cards.",cuisine,negative,"If you don’t know the cuisine, you might have trouble placing an order, and you should bring plenty of cash as they won’t take credit cards."
"Unless you are eating in the Pizzeria side of this place, and are not in a rush, this place is a bad idea.",place,negative,"If you are not eating on the Pizzeria side of this place and you are not in a rush, then this place is a bad idea."
"Unless you are eating in the Pizzeria side of this place, and are not in a rush, this place is a bad idea.",place,negative,"Unless you are dining on the Pizzeria side of this place and not in a hurry, this place is a bad idea."
"Unless you are eating in the Pizzeria side of this place, and are not in a rush, this place is a bad idea.",place,negative,"If you are not eating in the Pizzeria side of this place and you have no rush, this place is a bad idea."
"Of course this atmosphere is lacking, but what do you expect from a 24 hour bagel place anyways?",atmosphere,negative,"Sure, this atmosphere is missing, but what do you expect from a 24‑hour bagel shop anyway?"
"Of course this atmosphere is lacking, but what do you expect from a 24 hour bagel place anyways?",atmosphere,negative,"Naturally, this atmosphere falls short, yet what can you expect from a 24‑hour bagel place?"
"Of course this atmosphere is lacking, but what do you expect from a 24 hour bagel place anyways?",atmosphere,negative,"Indeed, this atmosphere is inadequate, but what would you expect from a bagel shop open all day?"
Price and quality of fish alone will keep us from making a return visit.,Price,negative,The high Price and quality of fish alone will keep us from making a return visit.
Price and quality of fish alone will keep us from making a return visit.,Price,negative,Price and the fish's quality alone will prevent us from returning.
Price and quality of fish alone will keep us from making a return visit.,Price,negative,Price and fish quality alone will stop us from coming back.
"One would think we'd get an apology or complimentary drinks - instead, we got a snobby waiter wouldn't even take our order for 15 minutes and gave us lip when we asked him to do so.",waiter,negative,"We expected an apology or complimentary drinks, but instead a snobby waiter ignored our order for fifteen minutes and gave us lip when we asked him to take it."
"One would think we'd get an apology or complimentary drinks - instead, we got a snobby waiter wouldn't even take our order for 15 minutes and gave us lip when we asked him to do so.",waiter,negative,"Instead of an apology or free drinks, we were met with a snobby waiter who wouldn't take our order for 15 minutes and gave us lip when we requested it."
"One would think we'd get an apology or complimentary drinks - instead, we got a snobby waiter wouldn't even take our order for 15 minutes and gave us lip when we asked him to do so.",waiter,negative,"We anticipated an apology or free drinks, yet a snobby waiter refused to take our order for 15 minutes and gave us lip when we asked him to serve us."
"The only concern i have is with the slighly all-business waitstaff who order and throw the food down, rushing you out.",waitstaff,negative,"My sole issue is the somewhat overly businesslike waitstaff who rush in, order, and hurl the food, pushing you away."
"The only concern i have is with the slighly all-business waitstaff who order and throw the food down, rushing you out.",waitstaff,negative,I only have a problem with the slightly all-business waitstaff who rush you out after ordering and flinging the food.
"The only concern i have is with the slighly all-business waitstaff who order and throw the food down, rushing you out.",waitstaff,negative,"The only drawback I notice is the slightly all-business waitstaff who order and throw the food down, hurrying you out."
The aesthetics of this place are like an airport lounge.,place,negative,"The aesthetics of this place resemble an airport lounge, which is disappointing."
The aesthetics of this place are like an airport lounge.,place,negative,The look of this place feels more like an airport lounge than a welcoming environment.
The aesthetics of this place are like an airport lounge.,place,negative,"This place has an aesthetic that is as bland as an airport lounge, giving a negative impression."
Made my dining experience uncomfortable.,dining experience,negative,It made my dining experience uncomfortable.
Made my dining experience uncomfortable.,dining experience,negative,The service made my dining experience uncomfortable.
Made my dining experience uncomfortable.,dining experience,negative,The atmosphere made my dining experience uncomfortable.
The food was absolutely horrible!,food,negative,The food was absolutely terrible!
The food was absolutely horrible!,food,negative,The food was truly dreadful!
The food was absolutely horrible!,food,negative,The food was completely awful!
"But don't ever order bacon late at nite (either platter or in sandwiches, for that matter don't from any take out place) as it is from the morning frying turns out hard almost like bacos, hurt my molars.",in sandwiches,negative,"Avoid ordering bacon late at night in sandwiches, because it becomes as hard as morning‑fried bacon and hurts my molars."
"But don't ever order bacon late at nite (either platter or in sandwiches, for that matter don't from any take out place) as it is from the morning frying turns out hard almost like bacos, hurt my molars.",in sandwiches,negative,"I advise against ordering bacon in sandwiches after dark, since it turns out tough like morning‑fried bacon and causes tooth pain."
"But don't ever order bacon late at nite (either platter or in sandwiches, for that matter don't from any take out place) as it is from the morning frying turns out hard almost like bacos, hurt my molars.",in sandwiches,negative,Never get bacon in sandwiches late at night; it ends up hard like morning‑baked bacon and aches my molars.
The makhani was OK --the korma was bland.,korma,negative,"The makhani was OK, but the korma was bland."
The makhani was OK --the korma was bland.,korma,negative,"The makhani was fine, yet the korma was underwhelming."
The makhani was OK --the korma was bland.,korma,negative,"The makhani was acceptable, though the korma was tasteless."
Pizza was a little soggy.,Pizza,negative,Pizza turned out somewhat soggy.
Pizza was a little soggy.,Pizza,negative,Pizza was a bit soggy.
Pizza was a little soggy.,Pizza,negative,Pizza came out a little soggy.
"The service was mediocre, and the lack of air conditioning made for a less than comfortable meal.",air conditioning,negative,"The service was mediocre, and the absence of air conditioning resulted in an uncomfortable dining experience."
"The service was mediocre, and the lack of air conditioning made for a less than comfortable meal.",air conditioning,negative,"Although the service was mediocre, the missing air conditioning contributed to a less pleasant meal."
"The service was mediocre, and the lack of air conditioning made for a less than comfortable meal.",air conditioning,negative,"The mediocre service was compounded by the lack of air conditioning, which made the meal feel uncomfortable."
It won't break the bank but I also wouldnt come back for the food.,food,negative,"It may not be expensive, but I wouldn't return for the food."
It won't break the bank but I also wouldnt come back for the food.,food,negative,"It won't cost a fortune, yet I wouldn't revisit for the food."
It won't break the bank but I also wouldnt come back for the food.,food,negative,"It won't break the bank, but the food is not worth coming back for."
"The highlight of the night was the mayonaisse for my side of fries I received from one of the food runners, which is not good considering the bill was nearly $100.",mayonaisse,negative,"The highlight of the evening was the mayonaisse that a food runner handed me with my fries, and it was disappointing, especially with a nearly $100 bill."
"The highlight of the night was the mayonaisse for my side of fries I received from one of the food runners, which is not good considering the bill was nearly $100.",mayonaisse,negative,"The highlight of the night was the mayonaisse served with my fries by a food runner, which was unsatisfactory given the almost $100 bill."
