sentence,sentiment,topic
cần quan tâm tới học sinh của mình hơn .,0,0
nội dung môn học cần rõ ràng hơn nữa để biết môn học học cái gì và khả năng tiếp nhận kiến thức của sinh viên .,0,1
nên có thêm slide cho sinh viên .,0,1
giảng viên cần tăng cường trao đổi nội dung môn học qua website môn học .,0,0
thầy giảng bài đầy đủ .,2,0
"môn này chẳng hỗ trợ it gì cả , nên dạy qua loa thôi để sinh viên tập trung các môn khác !",0,1
phòng lab cần có thêm thiết bị thật để thực hành .,0,2
có những ví dụ thực tiễn .,2,1
sáo rỗng .,0,3
thầy chỉ dạy nhiệt tình .,2,0
có hệ thống bài tập trên moodle .,2,0
"gần gũi , tận tâm , thương sinh viên .",2,0
không thông báo những bữa dạy bù và nghỉ lên daa và moodle .,0,0
"thầy tận tâm , nhiệt tình trong giảng dạy .",2,0
thầy có vẻ quá hiền .,1,0
còn làm ít bài tập .,0,0
cô rất nhiệt tình !,2,0
cho làm nhiều đồ án và bài tập liên quan tới môn học .,2,0
mong giáo viên có thể giảng bài kỹ hơn cho sinh viên .,0,0
"thầy dạy dễ hiểu và khá gần gũi với sinh viên , thầy vui tính và hòa đồng .",2,0
giảng viên rất nhiệt tình và luôn chuẩn bị bài giảng chu đáo .,2,0
dạy kiến thức sát với thực tế .,2,0
cô cung cấp nhiều thông tin thực tế .,2,1
"dạy xúc tích , dễ hiểu .",2,1
thầy tuyệt vời !,2,0
"thầy mời doanh nghiệp về dạy sinh viên , khá thiết thực .",2,0
"em nghĩ cô nên tóm gọn những nội dung phụ , lý thuyết , và đi sâu , tập trung vào trọng tâm hơn cũng như nếu được thì cô hãy nên sử dụng giọng phổ thông để áp dụng vào giảng dạy .",0,0
quá chu đáo nên hay đi lòng vòng vấn đề .,0,0
"giảng kỹ , nhiệt tình .",2,0
giảng viên chu đáo .,2,0
cách truyền đạt của giảng viên làm sinh viên khó tiếp thu .,0,0
"sửa bài tập chi tiết , kỹ càng , đặt ra nhiều vấn đề hay .",2,0
"làm đồ án còn phải thi cuối kỳ lý thuyết , sinh viên có nhiều đồ án trên một kỳ , còn phải thi lý thuyết cuối kỳ .",0,1
cách giảng viên tạo cơ hội cho sinh viên lấy điểm cộng .,2,0
lên lớp ít .,0,0
"nhiệt tình với sinh viên , đảm bảo giờ lên lớp , có hệ thống website môn học dễ sử dụng .",2,0
"cách giảng bài của thầy chưa được tốt còn thiếu sự gây hứng thú học tập cho sinh viên , đề thi môn học quá dài với lượng kiến thức cần có không phải ít khiến sinh viên khó làm bài tốt .",0,1
dạy khá chắc chắn .,2,0
đó là sau khi cô giảng xong một dạng toán thì nên cho ngay một ví dụ .,0,1
giảng viên có tăng cường giải đề các năm .,2,0
còn có một số thiếu hụt nhỏ trong kiến thức nhưng nhìn chung có kiến thức chuyên môn tốt .,2,0
cô sửa nhiều bài tập giúp sinh viên dễ tiếp thu phần lý thuyết .,2,0
cô dạy có tâm .,2,0
"một số lối giảng còn khó hiểu , thiếu đa dạng và thực tiễn .",0,0
"cô vui tính , tận tâm nhiệt tình , có thắc mắc cô đều giải thích rất kỹ và rất sâu .",2,0
cụ thể là phần chấm điểm giữa kỳ .,1,1
thầy nhiệt tình giúp đỡ bọn em và chấm bài cũng không thiên vị .,2,0
anh văn .,1,3
thầy giảng chưa sâu !,0,0
cô rất nhiệt tình khi dạy các em .,2,0
chơi trò chơi .,1,3
thông báo ngày nộp bài tập và báo cáo quá trễ .,0,1
thầy rất nhiệt tình và vui tính .,2,0
nên soạn slide bài giảng kỹ hơn .,0,1
"hi vọng khi truyền đạt một ý nào đó thầy nói ngay vào trọng tâm , tránh mở bài quá dài dòng làm người nghe khó nắm bắt và chọn lọc nội dung .",0,0
dạy hay nhiệt tình .,2,0
"thầy wwzjwz305 rất tốt , rất hiền , tận tâm , nhiệt tình .",2,0
"em thấy giảng viên chưa tạo được hứng thú để cho sinh viên học tập tốt hơn , khi lên lớp học lúc nào sinh viên cũng chán nản và không muốn học .",0,0
"thầy wzjwz94 dạy tốt , nhiệt tình và thân thiện với sinh viên , nếu được cho thầy tiếp tục giảng dạy trong các học kỳ tới .",2,0
thầy vui tính truyền đạt dễ hiểu .,2,0
dạy đúng giờ nhiệt tình .,2,0
"thầy dạy rất hay , dễ hiểu , tận tâm .",2,0
"nếu được , thầy kể thêm truyện ngày xưa vào những lúc giải lao .",1,0
giáo viên hay tới trễ .,0,0
nhưng vẫn chưa nhiệt tình lắm .,0,0
thầy giảng bài rất có tâm huyết .,2,0
đầu tư thêm nhiều thiết bị .,0,0
giảng viên rất tận tâm trong việc giảng dạy .,2,0
phương pháp giảng dạy của giảng viên dễ hiểu giúp sinh viên dễ nắm bắt .,2,0
cho các bài kiểm tra trên lớp rất hay .,2,0
cô dạy không nhiệt tình tuy có đầy đủ bài học .,0,0
giảng viên thường xuyên đến lớp trễ .,0,0
thầy giỏi và nhiệt tình .,2,0
lúc đầu có sai sót kỹ thuật ở mã môn học it006dote12 có hai dấu chấm nên sinh viên không được add vào môn học trong hệ thống moodle nên thầy phải cung cấp tài liệu cho sinh viên qua google site .,0,1
cách dạy của thầy không phù hợp với em nên khiến em khó khăn trong việc tiếp thu .,0,0
"giảng viên dạy tương đối dễ hiểu , vui tính .",2,0
nên bỏ môn học này vì nó không sát với chương trình học .,0,1
mong cô luôn như vậy .,2,0
"giáo viên giảng chậm , kỹ , dễ hiểu .",2,0
máy chiếu bị ảnh hưởng bởi ánh sáng nên xem slide không rõ .,0,2
"thầy giáo nhiệt tình , vui vẻ , tận tình giải đáp thắc mắc cho sinh viên .",2,0
"giảng viên không giải thích gì về bài tập , nếu có giải thích thì chỉ qua loa cho xong .",0,0
nội dung chưa cô động .,0,0
cách truyền đạt kiến thức của giảng viên có hơi khó hiểu .,0,0
"em xin góp ý kiến như thế này , nói không phải là nói xấu thầy nhưng thầy dạy rất nhàm chán , thầy chỉ đọc slide rồi về thôi , không cho ví dụ , không hướng dẫn giải bài tập cho sinh viên .",0,0
"môn nhập môn công nghệ phần mềm trước đây thầy thường bắt seminar cho hết giờ , xong rồi có những câu nói gây mất thiện cảm , thiếu trách nhiệm doubledot "" tuần sau thi giữa kỳ ha , nội dung là phần này ha , mấy em xem lại bài ha , không hiểu thì hỏi bạn ha , chúng ta kết thúc ở đây ha "" .",0,0
giảng viên thường xuyên mang ví dụ và vấn đề thực tiễn vào bài giảng .,2,0
cô dạy tận tâm nhiệt tình .,2,0
giảng viên rất nhiệt tình chỉ dẫn .,2,0
giảng viên hướng dẫn rất nhiệt tình .,2,0
giải thích thắc mắc của sinh viên .,2,0
giảng lý thuyết buồn ngủ .,0,0
nên cho kiểm tra theo dạng hiểu hơn là chỉ làm những bài toán .,0,1
nên chú trọng vào môn học là hướng đối tượng .,0,1
thầy dạy rất nhiều thứ hay bên cạnh những kiến thức cơ bản !,2,0
"mặc dù , có thể cái này sinh viên đang tự hiểu chỉ dùng cho các sắp xếp theo tính thự tự trong các hệ điều hành như về name , size .",1,3
cho nghỉ nhiều buổi .,0,0
đi học vào chủ nhật ở trường đại học thể dục thể thao là điều vô lí .,0,1
"chất lượng âm thanh chưa tốt , còn quá rè .",0,2
cô dạy nhiệt tình với sinh viên .,2,1
thầy dễ gần với sinh viên .,2,0
"thầy rất nhiệt tình với lớp , giải đáp mọi thắc mắc của học sinh .",2,0
em thấy vậy được rồi .,2,3
"thầy dạy kỹ , chi tiết .",2,0
"giảng viên nhiệt tình , tận tâm , chuẩn bị tài liệu đầy đủ .",2,0
thầy cần cho bài tập dễ hơn một chút .,0,0
truyền đạt của thầy hơi khó hiểu .,0,0
cô tính điểm quá trình chưa được tốt .,0,1
"đã đổi mới chương trình đột ngột thì không nên đổi cả ngôn ngữ , vì quá khó đối với sinh viên .",0,1
học thực hành nhiều hơn .,0,1
"tích cực , chuyên cần , giúp đỡ sinh viên tận tâm .",2,0
"không thông báo rõ ràng và đầy đủ quy định cụ thể khi cho sinh viên làm đồ án , đến khi chỉ còn một tháng cuối mới nhận được thông báo không được sử dụng một số thư viện ( sinh viên mail hỏi thì mới nhận được thông báo ) dẫn đến khó khăn cho sinh viên dù đã làm xong đồ án và phải làm lại .",0,0
lớp có một số bạn thi không đậu ở giữa kỳ và được thi lại .,0,1
chương trình còn nặng lý thuyết .,0,1
phòng wzjwz55 thiết bị thường bị trục trặc .,0,2
chưa demo nhiều .,0,1
sự nhiệt tình của giảng viên .,2,0
môn học quá nặng cho một ngành không chuyên toán như công nghệ thông tin .,0,1
"chương trình dạy và kiến thức của thầy cực kỳ tốt , ứng đáp trôi trải với câu hỏi các bạn sinh viên .",2,0
kiểm tra bằng web .,1,3
mong muốn của em đó là làm thế nào để bài giảng của giảng viên vừa đào sâu kiến thức lý thuyết vừa đi vào thực tế luôn .,0,0
giảng viên cũng rất nhiệt tình và quan tâm sinh viên .,2,0
"giáo viên giảng dạy tận tâm , nhiệt tình .",2,0
giảng viên chưa chuẩn bị tốt bài giảng .,0,0
thầy thường xuyên nghỉ .,0,0
bài giảng thiếu sự thu hút .,0,1
"các hoạt động trao đổi , thảo luận trên moodle hầu như không có , rất hạn chế .",2,1
cần dạy nhiều hơn vì khi thực hành chủ yếu sinh viên tự thực hành .,0,1
"nhiệt tình , tỉ mỉ .",2,0
quạt của phòng bị hư nên học hơi bị nóng .,0,2
"đổi phòng thực hành , máy thực hành bị hư rất nhiều .",0,2
"đề nghị trường có biện pháp nâng cấp phòng học vì phòng quá dơ , quá bụi , máy chiếu thì có phòng rất tốt nhưng cũng có phòng quá tệ .",0,2
dù đã kiến nghị riêng vói thầy nhưng thầy không thay đổi một cách linh hoạt giúp sinh viên nắm được lý thuyết dễ dàng hơn .,0,0
hoạt động speaking chưa nhiều .,0,0
"phương pháp dạy trực quan , dễ hiểu , có nhiều hoạt động cho sinh viên .",2,0
"vui vẻ , giảng dạy tích cực .",2,0
thầy dạy hay dễ hiểu !,2,0
tâm sự của một đứa sinh viên bị thầy đánh rớt .,1,0
giảng dạy sinh động giúp sinh viên tiếp thu kiến thức tốt .,2,0
thường về trước giờ tan .,0,0
"mong giảng viên có thể đưa ra thêm nhiều ví dụ hơn , thú vị hơn nữa .",0,0
"chấm điểm thực hành cần xem xét , khó đạt điểm cao .",0,1
"giảng viên tận tình chu đáo , truyền đạt dễ hiểu .",0,0
"vui tính , hài hước pha lẫn trong bài giảng của thầy !",2,0
giúp biết thêm nhiều kiến thức mới .,2,3
"sử dụng thư viện của standford , dùng các câu lệnh trong đó để áp dụng vào việc phân loại văn bản .",2,1
đồ án thực tế quá khó với sinh viên .,0,0
giọng nói .,1,3
"thay vào đó , nếu cô thêm vào thật nhiều ví dụ , thì bài giảng của cô sẽ sinh động hơn nhiều , để chúng em hiểu sâu vấn đề hơn .",0,0
thỉnh thoảng đi hơi trễ .,0,3
ít có tương tác với cô .,0,0
"mỗi bài học , mỗi buổi học thầy đều liên hệ thực tế với các cách thức mà các công ty bên ngoài thường làm .",2,0
cần nhiều bài tập và lời giải chi tiết kèm giáo trình .,0,1
quá khó khăn trong việc giờ giấc và tác phong .,0,0
nội dung bài học và thời gian giảng dạy được đảm bảo .,2,1
không chi tiết nhiều về phần bài tập .,0,3
thầy rất tận tâm và nhiệt tình .,2,0
bài tập khó .,0,1
"bài giảng hay , thiết thực .",2,1
cần cải thiện đề thi thực hành cuối kỳ để sinh viên ở mức trung bình có thể lấy điểm trung bình .,0,1
"phòng học còn bụi và nóng , máy chiếu tuy vẫn nhìn được nhưng như vậy vẫn là mờ , ngồi xa sẽ không thấy .",0,2
"thầy nhiệt tình , năng nổ , vui tính .",2,0
"cô nói nhiều những vấn đề đơn giản không cần giải thích nữa , cô không đảm bảo thời gian dạy trên lớp , hay đến trễ và sinh viên phải chờ .",0,0
nhà trường cần trang bị máy chiếu tốt hơn được không ạ .,0,2
"thầy dạy hay , tận tình , luôn đảm bảo đủ thời gian học tập trên lớp cho học sinh , chuẩn bị slide đẹp sinh động .",2,0
"giảng viên thân thiện , hay quan tâm tới sinh viên .",2,0
cách truyền đạt nội dung rất dễ hiểu .,2,0
nhiệt tình chuyên môn tốt .,2,0
thầy dạy rất vui nhộn colonsmile .,2,0
thầy có phần hơi dễ tính .,0,0
trò chơi sinh động .,2,1
thầy chưa hướng dẫn chi tiết .,0,0
"thầy nên cho về đúng giờ là khoảng 3h30 , thầy toàn cho về khoảng gần 5h , những bạn ở ngoài về tới nhà là tối rồi .",0,0
còn ít bài tập .,0,0
"cô vui vẻ , tận tâm , nhiệt tình giúp đỡ sinh viên .",2,0
"giảng viên lên lớp đúng giờ , đầy đủ .",2,0
"giảng viên thực hành dạy qua loa , không để ý nhiều đến sinh viên .",0,0
đề cương môn học cũng chưa có gây khó khăn trong việc sinh viên có thể chủ động tìm hiểu trước ở nhà .,0,1
là thầy có viết lời giải để học sinh tham khảo .,2,0
"phòng thực hành quá bé , bụi bặm , quạt không quay , đề nghị phòng đào tạo chia ca thực hành nếu không sẽ không đủ chỗ ngồi .",0,2
lâu lâu còn kể chuyện em thấy rất thoải mái không quá nặng nề .,2,0
cần có phương pháp dạy hướng về sinh viên nhiều hơn .,0,0
"giảng viên đứng lớp dạy chưa tròn trách nhiệm , còn hời hợt .",0,0
giảng viên rất nhiệt tình với sinh viên .,2,0
em cảm thấy nó rất hữu ích cho chúng em sau này .,2,1
em nghĩ là môn học này nếu thầy cho làm các đồ án thực tế áp dụng design pattern sẽ hay hơn và giúp chúng em hiểu sâu hơn thi lý thuyết .,0,1
bức xúc vì môn học này .,0,1
"bài học nội dung tốt , sinh động .",2,1
giảng viên đi dạy rất đúng giờ .,2,0
vui tính .,2,0
"cách giảng dạy , các hoạt động được tổ chức trong giờ học của giáo viên .",1,0
"giảng viên nên cập nhật mới tài liệu , ví dụ video học tập hay bài giảng chẳng hạn .",0,0
"thầy toàn dạy slide tiếng anh , đôi lúc thầy đọc mà có khi thầy còn không hiểu chứ huống chi sinh viên .",0,0
"em không học lớp này , không hiểu sao trong danh sách khảo sát của em lại có lớp này với giảng viên này .",0,3
giọng thầy rất khó nghe .,0,0
"thầy hiền , tận tình .",2,0
"nhiều khi hỏi giảng viên mà giảng viên phải lại coi cái đề , coi xong rồi còn nói "" chắc là cái này "" , "" em cứ thử đi "" .",0,0
"giảng dạy và hướng dẫn bài tập cần cụ thể hơn , cần có tài liệu trên website môn học .",2,0
quá đúng giờ .,0,0
giáo viên hơi hiền với lớp nên lớp luôn ồn ào và không tập trung .,0,0
thầy dạy vô cùng nhiệt tình .,2,0
"nhiệt tình , hiểu ý học sinh .",2,0
"cần cung cấp thêm nhiều tài liệu , cả tiếng việt lẫn tiếng anh .",0,1
"hơn nữa , buổi thứ 2 nếu các nhóm làm chung buổi 1 nghỉ dẫn tới tình trạng không có người hợp tác .",0,3
thầy cũng tâm lý với sinh viên tụi em nữa ạ .,2,0
có tính thực tiễn .,2,3
dạy buồn ngủ !,0,0
cô dạy quá nhanh sinh viên không kịp tiếp thu !,0,0
"giảng viên phát âm tiếng anh sai nhiều , rất khó nghe .",0,0
môn này không có giảng dạy .,0,1
giảng bài dễ hiểu và vui tính .,2,0
slide đầy đủ .,2,1
môn quan trọng mà có 3 tiết là hơi ít .,0,1
nếu được em kiến nghị là muốn giảm số lượng tiết trong một buổi học 4 tiết thành 3 tiết được rồi !,0,1
"phương pháp dạy hay , kết hợp nhiều hoạt động nhóm trong giờ học nên tạo hứng thú cho học viên .",2,0
"thầy vui tính , giảng rất thuyết phục .",2,0
không nhàm chán .,2,3
"đề nghị trường xem xét lại nội dung đề thi cho phù hợp với thời lượng , bài nghe không rõ ràng gây nhiều khó khăn cho sinh viên .",0,1
giáo viên chưa chủ động giảng dạy khi lên lớp .,0,0
cảm ơn !,1,0
cung cấp đầy đủ thông tin của môn học vào đầu kỳ .,2,0
thiếu tương tác với sinh viên .,0,0
cần đặt câu hỏi cho sinh viên trong khi giảng dạy và thêm vào điểm cộng nếu sinh viên trả lời được .,0,0
"giảng viên dạy dễ hiểu , tận tâm .",2,0
"thưa , cô luôn đưa ra những bài tập mang tính thực tiễn rất cao giúp cho những bài giảng vốn mang tính lý thuyết dài dòng không nhàm chán .",2,0
"giảng viên yêu cầu quá nhiều về việc hoàn thiện đồ án môn học , việc chấm chéo đồ án giữa các nhóm không hợp lý và không cần thiết .",0,0
"cách dạy rất sáng tạo , hy vọng được học nhiều môn khác với thầy .",2,0
nhiều lúc em lên phòng và thấy lớp khác đang học khiến em hơi bối rối .,0,3
nội dung ôn tập mà giảng viên cung cấp đầy đủ và đáp ứng được cho sinh viên hoàn thành các kỳ thi .,1,1
cô đi sớm về muộn .,2,0
cho bài tập và ví dụ .,1,0
cần cải tiến cách học và cần cho sinh viên được thực hành và tiếp xúc với các công nghệ bảo mật nhiều hơn để sinh viên có thể vận dụng kiến thức đã học của mình .,0,1
lớp cô dạy rất vui .,2,0
cần thống nhất nội dung học giữa lý thuyết và thực hành .,0,1
"nhà trường nên cho sinh viên biết cụ thể nội dung , mục đích môn học ngay từ để giúp sinh viên hiểu rõ hơn về môn học sắp tới .",0,1
"dạy nhanh , ngắn gọn , hiệu quả .",2,0
"chân tình giảng dạy , tận tình với sinh viên .",2,0
phương pháp truyền đạt kiến thức tới sinh viên chưa được hiệu quả .,0,0
hình thức thi đề đóng không phù hợp với môn học .,0,1
"giảng viên tận tâm , nhiệt tình trong công tác giảng dạy .",2,0
"thầy dạy dễ hiểu , nhiệt tình với sinh viên .",2,0
"giảng viên dạy sai kiến thức về fork , giải thuật round robin , bài tập về chiến lược placement .",0,0
cô rất nhiệt huyết và tận tâm với công việc .,2,0
thầy nên hướng dẫn sinh viên thực hành thay vì ngồi im như giám thị gác thi thực hành .,0,0
hướng dẫn tận tình !,2,0
giảng viên cần giảng giải các slide chậm lại và giải kỹ các ví dụ cơ bản .,0,0
"tận tình giúp đỡ học sinh , thầy dạy nhiệt huyết .",2,0
cho sinh viên biết điểm thi giữa kỳ và điểm thi speaking ngay khi có thể .,0,1
việc lên lớp và không lên lớp không có khác biệt .,1,1
phải thực hành nhiều hơn nữa .,0,1
"thầy rất nhiệt tình , giảng thì dễ hiểu .",2,0
giáo viên giảng dạy trực quan dễ hiểu .,2,0
chưa tận dụng thời gian hiệu quả .,0,0
nhất thiết phải đảm bảo yêu cầu về cơ sở vật chất phù hợp với môn học .,0,2
thầy tương tác nhiều với sinh viên .,2,0
"cần thêm thiết bị để làm các bài tập thực hành về ảo hóa , quản trị .",0,2
"thầy thực hành vào lớp đúng một buổi , chưa đầy 2 tiết và chỉ để giao lưu , trao đổi .",0,0
một số phòng thì quạt đã bị hỏng .,0,2
tăng cường những tiết làm bài tập và phân tích về thực tiễn hơn .,0,1
i love teacher x .,2,0
"phương pháp giảng dạy và cách tiếp cận với sinh viên rất tư nhiên , không gò bó .",2,0
"kiến thức rất nhiều , thời giang giảng dạy hơi ít .",0,0
"phần thực hành còn sơ sài , chưa hỗ trợ tốt cho lý thuyết .",0,1
"cô nhiệt tình quá nên nhiều cái cô giảng đi giảng lại buồn ngủ quá , mà tốn thời gian nữa , nhiều bạn vẫn chưa hiểu thì nên về nhà tự học thêm chứ cô giảng kỹ quá đâm ra dư thừa .",0,0
cập nhật chương trình học .,0,1
"cô dạy khá nhiệt tình , tuy nhiên lý thuyết dạy cô còn hay nhầm lần , làm sinh viên mơ hồ .",0,0
"thầy nhiệt tình , ví dụ hay .",2,0
"đề cương hiện tại thầy ra khá là mù mờ , rất tốn thời gian để xác định ý nghĩa thực sự của câu hỏi .",0,0
"cô là người dạy hay nhất , nhiệt tình nhất , tận tâm vì sinh viên nhất mà mình từng biết .",2,0
"giảng viên dạy không hay , đề tài cô đưa ra không hấp dẫn .",0,0
thầy wzjwz114 nên quan tâm tất cả học sinh hơn chút nữa !,0,0
"môn học được xếp vào phòng có máy chiếu bị hỏng phòng wzjwz66 , mong trường nhanh chóng giải quyết !",0,2
"cô dạy nhiệt tình , dễ hiểu , dễ thương !",2,0
"mỗi một vấn đề nhiều người sẽ hiểu nhiều cách khác nhau , có thể sinh viên chưa hiểu sẽ tìm ra một cách hiểu theo một mặt khác của giáo viên .",1,0
"mong ban quản lý cơ sở ý kiến giúp chúng em , em xin cảm ơn !",1,2
"giảng viên nhiệt tình , cho tập bóng nhiều .",2,0
hy vọng sẽ có thầy cô khác dạy .,0,0
bài tập thực hành không có sức lôi cuốn sinh viên phải thực hiện .,0,1
"giảng viên vui tính , tận tình chỉ bảo .",2,0
đảm bảo đúng thời gian lên lớp !,2,0
sử dụng trang thiết bị hiệu quả cho quá trình học tập .,2,2
lượng kiến thức cần học quá dài và khó tiếp thu .,0,1
"bài giảng từng phần có bài tập , ví dụ cụ thể dễ hiểu , để nắm được kiến thức .",2,1
"những đồ án thầy cho deadline được đòi hỏi quá nhiều , học thầy căng thẳng , thầy ít khi vui vẻ trong giờ học .",0,0
chưa làm rõ nội dung giảng dạy nên có một số phần hơi khó tiếp thu .,0,0
"cô không nên nhắc đi nhắc lại một nội dung quá ba lần  làm cho những bạn hiểu rồi nghe đi nghe lại cảm thấy buồn ngủ , mà chưa chắc những bạn chưa hiểu có nghe hay không .",0,0
"nhiệt tình , tâm huyết , báo sát nội dung môn học , hết lòng hỗ trợ sinh viên .",2,0
"tuy nhiên cách truyền đạt của thầy vẫn chưa dễ hiểu lắm , nên nói ít lý thuyết hơn .",0,0
"giảng viên giảng dạy hài hước , giờ làm bài tập nhiều nên nắm kiến thức vững hơn .",2,0
"kiến thức uyên thâm , tầm hiểu biết sâu rộng .",2,0
sinh động .,2,3
học có 3 buổi thôi nhưng em không thể đi buổi nào được vì trùng với lịch môn wzjwz149 .,0,1
"thầy giáo nhiệt tình , thân thiện , truyền đạt tốt .",2,0
"dạy hay , tận tâm .",2,0
"thầy dạy hay , động viên mọi người cùng học thêm những điều mới , cải thiện bản thân .",2,0
"bài giảng hấp dẫn , gần gũi thực tế .",2,1
giảng viên .,1,0
cả kỳ học được có 5 - 6 buổi .,0,1
sẵn sàng giúp đỡ sinh viên .,2,0
"đồ án khó , liên quan tới nhiều nội dung chưa được học .",0,1
hơn là những thuật toán của những môn trước .,1,1
"bên cạnh nội dung môn học , thầy còn chia sẻ nhiều vấn đề hay liên quan đến lĩnh vực công nghệ thông tin .",2,0
thầy bắt chơi hết game không để mất máu thì khó quá .,0,0
nhưng em chỉ không hài lòng về chương trình học theo outcome thôi ạ .,0,1
"giáo viên cần mẫn , hay có câu hỏi "" hay "" .",2,0
cô dạy hơi chán .,0,0
"phương pháp giảng dạy của thầy giúp sinh viên chủ động doubledot có các bài tập trên lớp , làm việc theo nhóm .",0,0
cô rất nhiệt tình với sinh viên .,2,0
"tạo group lớp để thảo luận , giải đáp các thắc mắc rất hiệu quả và tốt !",0,1
giảng viên tốt về mọi mặt .,2,0
nên tập trung vào chuyên môn trong mỗi buổi dạy .,0,1
giảng viên rất nhiệt tình và thân thiện .,2,0
không có thực hành môn này .,0,1
nửa đầu tiên hơi có sự chênh lệch kiến thức dạy học giữa lớp sáng và chiều .,0,1
giải bài cần chi tiết hơn .,0,0
